Wall time,Step,Value
1756831050.9253995,7430144,642.4788208007812
1756831058.2257352,7438336,650.3558959960938
1756831065.4787478,7446528,638.9298095703125
1756831079.932242,7462912,623.9308471679688
1756831087.2599866,7471104,622.5906982421875
1756831101.7491758,7487488,641.4010009765625
1756831109.008261,7495680,637.1240234375
1756831123.587686,7512064,641.0755615234375
1756831138.1715758,7528448,635.0487670898438
1756831145.4176228,7536640,632.73681640625
1756831152.7045927,7544832,638.2364501953125
1756831159.9700153,7553024,643.3919677734375
1756831174.6767647,7569408,641.7026977539062
1756831203.8700387,7602176,649.037841796875
1756831211.0914123,7610368,652.7249755859375
1756831218.3944712,7618560,658.6356811523438
1756831225.7649665,7626752,654.7601318359375
1756831233.0657613,7634944,645.9281005859375
1756831240.4515834,7643136,646.6260375976562
1756831247.756733,7651328,639.4486083984375
1756831262.5476024,7667712,654.0000610351562
1756831291.781736,7700480,654.368896484375
1756831306.3810112,7716864,654.2373657226562
1756831313.6645381,7725056,643.0924072265625
1756831335.650585,7749632,639.2474975585938
1756831364.898858,7782400,652.077880859375
1756831372.154786,7790592,659.4169311523438
1756831386.8368516,7806976,660.5879516601562
1756831401.3389847,7823360,656.2937622070312
1756831408.6249769,7831552,651.7304077148438
1756831415.9676592,7839744,659.1919555664062
1756831437.9517946,7864320,655.0895385742188
1756831445.323814,7872512,656.3734741210938
1756831452.6215358,7880704,649.8328857421875
1756831459.9155147,7888896,647.8941650390625
1756831467.1522076,7897088,641.9703979492188
1756831474.5182903,7905280,639.7951049804688
1756831481.8121295,7913472,645.8109741210938
1756831496.4059904,7929856,655.3994750976562
1756831503.7637138,7938048,652.0960083007812
1756831525.8765934,7962624,645.4614868164062
1756831562.609024,8003584,651.7324829101562
1756831577.2585094,8019968,650.8937377929688
1756831584.6593413,8028160,656.4437866210938
1756831599.3840249,8044544,661.650390625
1756831606.730073,8052736,663.747802734375
1756831614.1141698,8060928,668.2589111328125
1756831636.3612404,8085504,674.6435546875
1756831651.3759828,8101888,674.7227783203125
1756831658.8076227,8110080,669.6257934570312
1756831666.2035258,8118272,660.6434326171875
1756831680.9811733,8134656,651.8531494140625
1756831695.6917462,8151040,661.5389404296875
1756831703.076491,8159232,657.8945922851562
1756831710.496035,8167424,665.3128051757812
1756831725.471052,8183808,659.3793334960938
1756831732.9196177,8192000,669.3408813476562
1756831747.7065196,8208384,675.0425415039062
1756831755.1346014,8216576,676.5957641601562
1756831762.5462341,8224768,668.4287109375
1756831769.9153943,8232960,672.11962890625
1756831777.2358687,8241152,663.2353515625
1756831784.5787907,8249344,650.4093627929688
1756831821.2132263,8290304,662.84521484375
1756831836.0769715,8306688,671.1538696289062
1756831850.869164,8323072,658.0579833984375
1756831858.2497523,8331264,655.1699829101562
1756831865.6276913,8339456,648.1557006835938
1756831902.6730409,8380416,669.6184692382812
1756831932.2798479,8413184,669.9933471679688
1756831947.0141878,8429568,662.6197509765625
1756831954.4246483,8437760,666.3849487304688
1756831998.9440837,8486912,686.343505859375
1756832006.337774,8495104,687.583740234375
1756832013.8417692,8503296,681.4411010742188
1756832021.2171044,8511488,669.3191528320312
1756832028.624887,8519680,667.8948974609375
1756832058.273672,8552448,675.9971923828125
1756832073.1039312,8568832,673.3810424804688
1756832080.490034,8577024,678.0792236328125
1756832102.7688346,8601600,678.6549072265625
1756832124.95041,8626176,679.7364501953125
1756832132.3718216,8634368,688.1487426757812
1756832154.6798065,8658944,689.2510986328125
1756832169.5425227,8675328,680.9274291992188
1756832176.9768844,8683520,689.2869262695312
1756832184.400534,8691712,684.3314208984375
1756832199.260469,8708096,692.9254760742188
1756832221.7231956,8732672,689.0474243164062
1756832229.2759547,8740864,693.9346313476562
1756832236.728256,8749056,684.0263061523438
1756832251.5485613,8765440,682.5556640625
1756832258.8983839,8773632,675.9974975585938
1756832266.2483945,8781824,688.5359497070312
1756832273.6202087,8790016,690.3013305664062
1756832281.0371146,8798208,688.7015991210938
1756832288.4042902,8806400,693.4219970703125
1756832310.6247911,8830976,689.489501953125
1756832318.1324875,8839168,690.0202026367188
1756832333.0935524,8855552,697.5724487304688
1756832340.5771568,8863744,695.6484985351562
1756832347.9851892,8871936,683.7164306640625
1756832370.4625962,8896512,688.9739379882812
1756832377.9720554,8904704,694.4734497070312
1756832385.5020173,8912896,700.2877197265625
1756832415.8376186,8945664,708.5147094726562
1756832423.3408701,8953856,709.4974975585938
1756832430.8281755,8962048,700.9949951171875
1756832468.462225,9003008,702.7548217773438
1756832483.198571,9019392,696.5828857421875
1756832498.0555775,9035776,695.3047485351562
1756832505.4836137,9043968,703.541015625
1756832512.8601606,9052160,700.3927612304688
1756832534.9993477,9076736,692.615478515625
1756832542.3950653,9084928,692.5862426757812
1756832549.823125,9093120,697.3099975585938
1756832557.2226398,9101312,696.4540405273438
1756832564.633766,9109504,692.9916381835938
1756832572.0338962,9117696,692.4649658203125
1756832579.4773967,9125888,694.2943115234375
1756832586.9062285,9134080,707.447998046875
1756832601.6761086,9150464,685.7139892578125
1756832624.0537217,9175040,694.3010864257812
1756832638.8862271,9191424,690.4322509765625
1756832646.3046308,9199616,685.1090698242188
1756832668.5988812,9224192,686.77099609375
1756832675.9540863,9232384,683.8594360351562
1756832690.7564037,9248768,697.933837890625
1756832698.1852648,9256960,699.4949340820312
1756832705.653382,9265152,714.7724609375
1756832713.0317283,9273344,714.2509155273438
1756832720.4140258,9281536,704.298583984375
1756832735.2684212,9297920,678.9671020507812
1756832742.7518034,9306112,680.0780029296875
1756832750.1618958,9314304,685.0090942382812
1756832757.5683439,9322496,702.2081298828125
1756832772.3597116,9338880,710.5087280273438
1756832794.5583684,9363456,709.0035400390625
1756832816.9225323,9388032,714.479248046875
1756832824.3533907,9396224,712.8268432617188
1756832839.1358697,9412608,692.2635498046875
1756832846.5326676,9420800,692.76025390625
1756832853.9886076,9428992,688.0941162109375
1756832861.4590185,9437184,693.4423217773438
1756832868.8847494,9445376,698.7171630859375
1756832876.333176,9453568,699.330810546875
1756832891.280537,9469952,703.0427856445312
1756832921.132872,9502720,701.7490234375
1756832928.5956256,9510912,695.0494995117188
1756832943.5557563,9527296,702.9588012695312
1756832958.4321837,9543680,704.9393920898438
1756832973.4696836,9560064,709.0975952148438
1756832981.0080237,9568256,713.7817993164062
1756833026.2089188,9617408,716.8077392578125
1756833033.7624826,9625600,718.7037963867188
1756833048.8646853,9641984,716.7463989257812
1756833056.5471244,9650176,713.8004150390625
1756833064.1264274,9658368,715.8952026367188
1756833094.5374696,9691136,722.9324951171875
1756833109.7496724,9707520,719.18798828125
1756833124.8751326,9723904,714.6586303710938
1756833140.0073214,9740288,719.5199584960938
1756833147.562735,9748480,719.7817993164062
1756833155.0482092,9756672,711.5348510742188
1756833177.5778625,9781248,709.46142578125
1756833185.1159213,9789440,705.786865234375
1756833192.6792376,9797632,711.7454833984375
1756833200.1247094,9805824,704.120849609375
1756833207.636353,9814016,709.6649169921875
1756833215.1140368,9822208,697.2805786132812
