Speed,Angle,Distance,Success,Reward
0.6,6.86,-0.04,True,1012.5983147109754
0.9,6.86,0.03,True,985.6829501486951
1.2,6.86,-0.06,True,808.1284608366545
1.5,6.86,0.11,True,1050.22055984186
1.8,6.86,0.42,True,894.6025572861221
2.1,6.86,0.28,True,950.8737247179853
2.4,6.86,0.14,True,812.3457765903551
2.7,6.86,0,False,298.0761211621107
3.0,6.86,0.24,True,832.6244721721897
0.3,7.37,0.07,True,1119.512195269152
0.6,7.37,-0.1,True,984.486696566071
0.9,7.37,-0.04,True,966.5836581089831
1.2,7.37,0,False,234.81864182995295
1.5,7.37,0.16,True,931.6718083358028
1.8,7.37,0.14,True,936.9622874966674
2.1,7.37,0.34,True,948.9027192238522
2.4,7.37,0,False,259.74979083416474
2.7,7.37,0.26,True,544.768139527739
3.0,7.37,0,False,150.88586402654815
0.3,7.88,0.1,True,1117.7866714734573
0.6,7.88,-0.01,True,1064.0447057082933
0.9,7.88,-0.02,True,945.8208343095454
1.2,7.88,0.01,True,757.5778332701516
1.5,7.88,0,False,262.9005388613691
1.8,7.88,0.16,True,864.7121908958492
2.1,7.88,-1.24,False,585.9916135710389
2.4,7.88,0,False,345.68737410252396
2.7,7.88,0,False,-21.20812680634267
3.0,7.88,0,False,18.158273395238588
0.3,8.39,0.14,True,1074.916047352427
0.6,8.39,-0.12,True,1002.7023971442061
0.9,8.39,-0.05,True,793.4353492298131
1.2,8.39,-0.83,False,499.85909236177054
1.5,8.39,0,False,194.90003743027506
1.8,8.39,0.36,False,785.864154900634
2.1,8.39,0,False,389.3860563971957
2.4,8.39,0.18,False,701.698415895024
2.7,8.39,0,False,34.822433588642
3.0,8.39,0.08,True,514.8744748117388
0.3,8.9,0.08,True,1048.0858851066419
0.6,8.9,-0.05,True,1046.8969395799145
0.9,8.9,-0.13,True,860.7819785000308
1.2,8.9,0,False,258.7400035115932
1.5,8.9,0.17,True,923.5061620320304
1.8,8.9,0,False,472.55532992312015
2.1,8.9,0.28,True,852.8703822081781
2.4,8.9,0.18,True,934.5098851624817
2.7,8.9,0,False,377.75393988864295
3.0,8.9,0,False,139.74581413809884
0.3,9.41,0.08,True,1072.9133463125943
0.6,9.41,-0.07,True,1046.7292486244917
0.9,9.41,-0.08,True,878.007056418527
1.2,9.41,-0.04,True,829.2708243629071
1.5,9.41,0.17,True,910.0627809609671
1.8,9.41,0.11,True,813.6949038741894
2.1,9.41,0.18,True,881.4333440317287
2.4,9.41,0,False,255.4899454349207
2.7,9.41,0,False,223.10286840228002
3.0,9.41,0,False,118.45918417914162
0.3,9.92,0.13,True,1036.498545628836
0.6,9.92,-0.1,True,1015.0643786673395
0.9,9.92,-0.09,True,943.9269023759555
1.2,9.92,0.13,True,914.7310503347483
1.5,9.92,0.19,True,845.9802383095468
1.8,9.92,0.11,True,949.8327567619999
2.1,9.92,-0.91,False,527.652035725551
2.4,9.92,0,False,268.4869635892558
2.7,9.92,0.21,False,103.95843717584663
3.0,9.92,0.15,False,455.1708091395256
0.3,10.42,0.08,True,1050.8349487271464
0.6,10.42,-0.12,True,996.9030777876033
0.9,10.42,-0.04,True,935.5056671186511
1.2,10.42,0,False,306.1287561055769
1.5,10.42,0.01,True,915.4205016540074
1.8,10.42,0.21,False,777.227081384031
2.1,10.42,0,False,346.30391025669957
2.4,10.42,0,False,401.7317000262634
2.7,10.42,0,False,145.6987770519505
3.0,10.42,0,False,118.01309109727121
0.3,10.93,0.09,True,1102.6759707537994
0.6,10.93,-0.08,True,903.5909079136485
0.9,10.93,-0.05,True,833.9309804090152
1.2,10.93,0.01,True,756.2160162765108
1.5,10.93,0,False,144.58871061756034
